index,attention_weight,selected
0,2.8596877074917353e-28,False
1,3.097850651556655e-07,False
2,2.7210055009163625e-07,False
3,1.495618207059124e-08,False
4,4.685668519854858e-10,False
5,1.1640111097221961e-09,False
6,4.945328058170162e-08,False
7,9.498567488108733e-10,False
8,8.708222476450089e-10,False
9,4.263454866926253e-10,False
10,6.653927897559697e-08,False
11,1.6265659041891922e-08,False
12,8.821026540317689e-07,False
13,2.4994642444653437e-06,False
14,2.0550776635985812e-09,False
15,7.061700557642325e-09,False
16,2.3370136048583845e-08,False
17,1.3388761210819666e-09,False
18,8.101887161160448e-09,False
19,7.239249498525169e-06,False
20,1.6261632040937002e-08,False
21,2.4704144507836645e-08,False
22,1.3247409924588283e-07,False
23,9.480089033786498e-07,False
24,5.4967451035281556e-08,False
25,7.675966529063771e-09,False
26,1.1931843957313504e-08,False
27,1.4178171525713879e-08,False
28,7.135784851897142e-09,False
29,6.925402828983351e-08,False
30,1.7732644153056754e-07,False
31,1.1443292891044621e-07,False
32,2.081793937236398e-08,False
33,1.2610092198883649e-05,False
34,4.004215270470013e-07,False
35,1.3741852100679353e-08,False
36,3.321446456538979e-06,False
37,1.1364657439116854e-05,False
38,9.925369113261695e-07,False
39,4.674197100484889e-07,False
40,3.118209690455842e-07,False
41,1.9837634681607597e-06,False
42,3.441107992330217e-06,False
43,3.8071362951086485e-07,False
44,2.7828912507743553e-09,False
45,4.422879396059898e-09,False
46,7.543896174411202e-09,False
47,3.2092876267597603e-07,False
48,4.396371195980464e-07,False
49,0.00039852852933108807,False
50,5.996155323373387e-07,False
51,9.762891295395093e-07,False
52,1.0311525500128482e-07,False
53,2.637142131334258e-07,False
54,8.103907020995393e-07,False
55,1.0153389666811563e-06,False
56,1.990963937714696e-05,False
57,1.78386976301681e-08,False
58,1.0750687096106049e-07,False
59,0.13401125371456146,True
60,0.04752203822135925,False
61,1.3956432667328045e-06,False
62,3.937554708954849e-07,False
63,1.6893305598841835e-07,False
64,4.169065448422771e-08,False
65,5.247412900644122e-06,False
66,4.319091999605007e-07,False
67,1.381130800837127e-07,False
68,8.378207894566003e-06,False
69,0.24983717501163483,True
70,0.00014056377403903753,False
71,2.348490397707792e-06,False
72,1.574980046825658e-06,False
73,0.2290685474872589,True
74,0.00010081489745061845,False
75,0.08877500146627426,True
76,1.9344115571584553e-06,False
77,5.970877055005985e-07,False
78,2.927006335085025e-06,False
79,3.0984026011537935e-07,False
80,5.585075996350497e-06,False
81,3.1664151833865617e-07,False
82,3.8200763441409435e-08,False
83,3.8637963939436304e-08,False
84,6.2711840165263766e-09,False
85,7.636668897248455e-08,False
86,3.519952542774263e-06,False
87,7.79258698457852e-07,False
88,6.138222818918848e-09,False
89,6.531411855803526e-08,False
90,4.698222255683504e-09,False
91,1.4647378066001693e-07,False
92,2.0996253624616656e-06,False
93,2.633373163973829e-08,False
94,5.127422486594924e-09,False
95,2.233889739855499e-10,False
96,6.882792604301358e-06,False
97,9.934922884369257e-10,False
98,4.885264388576616e-07,False
99,1.6764742483132977e-08,False
100,1.5290934740619377e-08,False
101,1.8092080056320015e-09,False
102,4.464349601107642e-08,False
103,3.765021392609924e-05,False
104,1.9741779322401953e-09,False
105,5.6707207818362804e-08,False
106,2.7947058001132064e-09,False
107,4.5404382831293333e-07,False
108,1.0578835585306479e-08,False
109,5.158447446973469e-09,False
110,0.24998897314071655,True
111,1.916980352234532e-08,False
