definition_sha256,kind,symbol_names,file_count,occurrence_count,paths,relationship
9afc225f622ab7508337aeab9b86b2f52bb7cb749c7c9a3db80e29471dd7acf6,function,sha256,15,15,scripts/audit/compare_legacy_peptide_table_mic.py;scripts/audit/verify_historical_peptide_screen_case.py;scripts/audit/verify_legacy_small_molecule_postprocessing.py;scripts/audit/verify_paper_figure_lineage.py;scripts/audit/verify_small_molecule_screen_lineage.py;scripts/reproduce/analyze_mic_attention.py;scripts/reproduce/analyze_small_molecule_screen.py;scripts/reproduce/export_molecule_embeddings.py;scripts/reproduce/peptide_inventory_screen.py;scripts/reproduce/plot_paper_in_vivo_cfu.py;scripts/reproduce/score_generated_molecule_mic.py;scripts/reproduce/score_generated_molecule_synergy.py;scripts/reproduce/score_peptide_table_mic.py;scripts/reproduce/score_small_molecule_screen.py;scripts/reproduce/screen_peptide_candidates.py,normalized_top_level_definition_clone
fd4d6dbbe0b657df80c965217388ffc6e03e4b67387a7782d27bfd731d70c2a6,function,_sha256,6,6,scripts/audit/verify_legacy_chemistry.py;scripts/reproduce/convert_smiles_table_to_selfies.py;scripts/reproduce/match_screen_to_catalogue.py;scripts/reproduce/train_mic_guidance.py;scripts/reproduce/train_peptide_classifier.py;scripts/reproduce/train_synergy_guidance.py,normalized_top_level_definition_clone
0014a6078c907c154276ba3c4706db7175976dabe8a1e7f85e3acd47ab4ecb0e,function,DDIT._get_bias_dropout_scale;DDiTBlock._get_bias_dropout_scale;DDiTBlock_non_pad._get_bias_dropout_scale;DIT._get_bias_dropout_scale;DIT_non_pad._get_bias_dropout_scale;DiMamba._get_bias_dropout_scale,3,7,models/autoregressive.py;models/dimamba.py;models/dit.py,normalized_top_level_definition_clone
ab1d8e3d0efc94d5837b562d8d138236cabfb06208e4413c77b85c7b939772cf,function,_sha256_bytes,3,3,scripts/audit/compare_legacy_mic_guidance.py;scripts/audit/verify_hierarchical_mic_legacy_lineage.py;scripts/audit/verify_legacy_chemistry.py,normalized_top_level_definition_clone
88226ecc5b1e4556cea64cb1d4154c7c4f4d35e2ec669a1737313b1715720279,function,CandidateMICRegressor._conditions;CandidateSynergyClassifier._conditions,2,2,src/apexoracle_mdlm/scoring/mic.py;src/apexoracle_mdlm/scoring/synergy.py,normalized_top_level_definition_clone
c9d6c05e7575b2a668b9aae2bdc9736e0cc9dbf6a84d2bc648dc3abff728b4fa,function,CandidateMICRegressor.forward;CandidateSynergyClassifier.forward,2,2,src/apexoracle_mdlm/scoring/mic.py;src/apexoracle_mdlm/scoring/synergy.py,normalized_top_level_definition_clone
a6e44998a441ca3a8791c0b80cb27f359b707be8b480787acdaa44909ad6a273,function,DLMHiddenStateEncoder._process_sigma;MolEmbDLM._process_sigma,2,2,src/apexoracle_mdlm/hub/model.py;src/apexoracle_mdlm/models/dlm_encoder.py,normalized_top_level_definition_clone
ba3fe3f98e9824d5711a0dbcd6c6a2be528aa11e4f0eab8a93543a279f80f7b6,function,DLMHiddenStateEncoder._sample_t;MolEmbDLM._sample_t,2,2,src/apexoracle_mdlm/hub/model.py;src/apexoracle_mdlm/models/dlm_encoder.py,normalized_top_level_definition_clone
48bb52202eb272db181803007b098e8a5d5db7f770cf189dff62dbb89d89a713,class,EmbeddingLayer,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
39a5a19e079e9c9485638f57f911070634b0af2e519c58ad6b9d4e85a7436dff,function,EmbeddingLayer.__init__,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
4f9173bf97f9d81d6948778c7686736a327fe07d1f7080fb0cbfa60e13fe4a1e,function,EmbeddingLayer.forward,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
b6559390e73b5b4cdd14b4d5086b695827eb2118b92dc8eacc8154b7dec540d8,function,GuidanceMICDataset.__len__;SynergyGuidanceDataset.__len__,2,2,src/apexoracle_mdlm/training/mic_guidance.py;src/apexoracle_mdlm/training/synergy_guidance.py,normalized_top_level_definition_clone
f4fc213eb29b4a1c69c3f5287e87342737695a167f1315080b4eafccf3ff3e43,class,LayerNorm,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
c76141876219567f1d247664e02d64675d5c7493bba097d43f30d4cee5f1696f,function,LayerNorm.__init__,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
b665103af772a2dd9578a3de7b5212da405f6290957721c2e2f231ac8e9c9cc1,function,LayerNorm.forward,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
751942eafa46d34a614cd02491d27dd313f852495bdbb6fd89908b17abe14aa9,class,Rotary,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
c2e1f702157236b229fae316266a9ff757fc939b3f2f8989d94f50cfc2a45e67,function,Rotary.__init__,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
eabc5bb62255a581ca99bae001f41033ca75ccac95c5f239f200814d239512e1,function,Rotary.forward,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
0665da41abff922caf23885bd72058ca99b8aed12077db7426e9735fd6885158,function,_merge_embeddings,2,2,scripts/reproduce/train_mic_guidance.py;scripts/reproduce/train_synergy_guidance.py,normalized_top_level_definition_clone
fee73d416a9eb86fa4dad4de15591a9759dae6bb7752a07ed970c4e35f2b77b4,function,_move_batch,2,2,scripts/reproduce/train_mic_guidance.py;scripts/reproduce/train_synergy_guidance.py,normalized_top_level_definition_clone
768e8a40d3a032dfdc2851c060041d1e4d979fa091608d3e82e0ebe11dfaac45,function,_sha256_file,2,2,scripts/audit/compare_legacy_synergy_guidance.py;scripts/audit/verify_hierarchical_mic_legacy_lineage.py,normalized_top_level_definition_clone
84c94f6bb34d56c141d214d1450e9872c047c8d2e934e87fc2fae0697253479c,function,apply_rotary_pos_emb,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
20ae2839d04af8631ab1071cffe4a89cfb375ab3837aa3eb7df9a2c0b5efdc16,function,bias_dropout_add_scale,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
eb4f11cf7c6f31596267af72299162517ea4e624c45442564e079e73b3cf77a3,function,bias_dropout_add_scale_fused_inference,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
b9ae6bdbba67b93f314985b6e005a49b004b2e80d9d811569fa6485338be245b,function,bias_dropout_add_scale_fused_train,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
6b8590c57eb63ba81fdddda7e44ffbd87a60e43d08633f709dd2719f0c9abb2b,function,get_bias_dropout_add_scale,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
b736036932dd505c2a71b5e6858968cea2d5045257bb40dd2def692e62a79205,function,get_bias_dropout_add_scale._bias_dropout_add,2,2,models/autoregressive.py;models/dit.py,normalized_top_level_definition_clone
