index,attention_weight,selected
0,1.313474592422373e-27,False
1,2.359740210522432e-05,False
2,6.200017378432676e-05,False
3,1.4480509662462282e-06,False
4,7.154249760787934e-05,False
5,1.139578557740606e-06,False
6,0.00033681775676086545,False
7,0.0009679687209427357,False
8,2.5417633878532797e-05,False
9,0.000100482560810633,False
10,3.1019109883345664e-05,False
11,0.00043411937076598406,False
12,9.823674918152392e-05,False
13,0.0014763489598408341,False
14,6.9121520027692895e-06,False
15,3.667490091174841e-05,False
16,6.26598364306119e-07,False
17,6.616528480662964e-06,False
18,5.348763806978241e-06,False
19,2.2308015104499646e-05,False
20,2.690820474526845e-05,False
21,1.2714661352219991e-05,False
22,0.0001189508693641983,False
23,0.0005963521543890238,False
24,1.4865868251945358e-05,False
25,2.0077241060789675e-05,False
26,5.527856501430506e-06,False
27,9.626918472349644e-05,False
28,1.136805622081738e-05,False
29,9.907893172567128e-07,False
30,4.636945050151553e-07,False
31,3.127483978460077e-07,False
32,3.8041596326365834e-06,False
33,1.9329161659698002e-05,False
34,1.843750214902684e-05,False
35,7.590664608869702e-06,False
36,2.180167868459648e-08,False
37,1.3242684872238897e-05,False
38,5.3146217396715656e-05,False
39,2.4079858121694997e-05,False
40,3.390996062080376e-05,False
41,3.867862687911838e-06,False
42,0.00010078449122374877,False
43,3.9431738514394965e-06,False
44,8.159370918292552e-05,False
45,6.867659976705909e-05,False
46,0.00012183334183646366,False
47,1.2880899703304749e-05,False
48,6.798012327635661e-05,False
49,1.7785465615816065e-06,False
50,3.6348944831843255e-06,False
51,5.979909474262968e-05,False
52,0.0009243712993338704,False
53,0.00014698946324642748,False
54,0.004108182620257139,False
55,0.00013359783042687923,False
56,0.00017256676801480353,False
57,0.00029198036645539105,False
58,0.00023440264340024441,False
59,0.002234990708529949,False
60,0.00014419981744140387,False
61,0.005733765196055174,False
62,0.03958876058459282,False
63,0.00034673564368858933,False
64,0.0002466842997819185,False
65,0.0037394119426608086,False
66,0.002304322086274624,False
67,0.009699168615043163,False
68,1.8448545233695768e-05,False
69,0.00032380761695094407,False
70,7.062173608574085e-06,False
71,0.01485239528119564,False
72,0.1926666647195816,True
73,0.0001784608029993251,False
74,0.00015117954171728343,False
75,3.686739000841044e-05,False
76,0.0030733400490134954,False
77,0.09494547545909882,True
78,0.0001101799716707319,False
79,0.00015871383948251605,False
80,0.0007964750984683633,False
81,0.005721684079617262,False
82,0.00011784190428443253,False
83,5.62146888114512e-05,False
84,1.7054791896953247e-05,False
85,0.0109065817669034,False
86,4.0552149584982544e-05,False
87,2.5906647351803258e-05,False
88,0.0013665891019627452,False
89,0.0002613857504911721,False
90,6.067722279112786e-05,False
91,0.0003062490723095834,False
92,0.00029738200828433037,False
93,0.00012204213271616027,False
94,0.00024005386512726545,False
95,7.24728888599202e-05,False
96,0.06969314068555832,True
97,1.165570574812591e-05,False
98,4.1234329728467856e-06,False
99,2.8260366889298894e-05,False
100,0.010900924913585186,False
101,1.956597316166153e-06,False
102,2.091137048410019e-06,False
103,6.094530544942245e-05,False
104,7.762425411783624e-06,False
105,0.0032788605894893408,False
106,0.00024081797164399177,False
107,9.200226003258649e-08,False
108,1.2104501934118161e-07,False
109,1.0680021659936756e-05,False
110,0.0002592321252450347,False
111,7.111909508239478e-05,False
112,1.8540910105002695e-06,False
113,0.0001524514809716493,False
114,1.1363636076566763e-06,False
115,3.861889865675039e-07,False
116,6.379143968615608e-08,False
117,1.946938709807e-06,False
118,8.882284419087227e-06,False
119,1.0832972066054936e-06,False
120,6.8643607846752275e-06,False
121,2.956026321498939e-07,False
122,4.6706841203558724e-06,False
123,1.1807681232767209e-07,False
124,1.1366780654498143e-06,False
125,4.252086364431307e-05,False
126,3.1451372706214897e-07,False
127,6.221246735549357e-07,False
128,7.068080094541074e-07,False
129,8.305778465000913e-06,False
130,1.1142191880253449e-07,False
